"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"15088220",97.64,96.65,84.40,73.67,73.37,72.90,69.61,69.19,33.31,1.68,97.54,96.57,80.84,31.21,25.14,18.88,1.08,0.09,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.10,32.21,0.00,1.68,1.68,1.68,1.68
"15088235",97.23,96.01,84.68,37.77,34.54,33.17,21.44,9.73,2.42,2.42,95.13,93.90,82.26,35.35,32.13,30.75,20.24,8.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.42,2.42,2.42,2.42
"15088265",99.91,99.91,99.78,97.09,87.91,58.88,34.26,13.42,0.00,0.00,99.91,99.91,99.78,97.09,87.91,58.88,34.26,13.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15088295",93.54,85.23,59.13,41.01,40.00,38.84,31.46,20.13,0.33,0.33,93.54,85.23,59.13,41.01,40.00,38.84,31.46,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33
"15088305",99.80,99.80,99.64,94.83,91.79,88.95,65.30,35.51,15.44,12.46,99.80,99.80,99.58,93.39,90.21,87.38,64.90,22.67,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,2.98,0.00,12.46,12.46,12.46,12.46
"15088319",99.95,99.95,99.11,96.36,93.34,83.63,62.85,36.10,13.48,13.00,98.83,98.74,97.72,95.00,92.56,82.33,56.46,20.10,11.70,11.70,11.70,11.70,11.70,11.70,11.70,11.70,0.48,0.00,13.00,13.00,13.00,13.00
"15088330",95.88,94.50,92.87,67.29,63.70,61.97,32.88,6.01,0.00,0.00,95.88,94.50,92.87,67.29,63.70,61.97,32.88,6.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
"15088340",100.00,100.00,100.00,97.89,93.94,82.16,52.86,0.00,0.00,0.00,100.00,100.00,100.00,97.89,93.94,82.16,52.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15088355",98.97,98.72,98.52,98.52,97.95,93.03,63.89,16.66,0.00,0.00,98.97,98.72,98.52,98.52,97.95,93.03,63.89,16.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15088365",99.80,99.79,98.97,95.76,90.87,86.61,62.74,36.91,8.32,3.02,99.78,99.77,98.96,95.75,90.78,86.59,62.06,35.54,5.30,5.30,5.30,5.30,5.30,5.30,5.30,5.30,5.30,0.00,3.02,3.02,3.02,3.02
"15089005",99.99,99.99,95.64,62.08,56.74,52.97,33.62,9.43,0.00,0.00,99.99,99.99,95.64,62.08,56.74,52.97,33.62,9.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089015",99.10,98.03,87.20,83.04,81.17,77.86,73.09,72.65,63.36,0.81,98.88,97.81,85.20,37.02,31.74,29.05,23.41,15.62,71.71,71.71,71.67,71.67,71.67,71.66,71.63,71.21,63.11,0.09,0.81,0.81,0.81,0.81
"15089026",98.47,98.09,87.83,32.78,31.02,23.49,17.09,0.41,0.41,0.00,98.47,98.09,87.83,32.59,30.67,23.14,16.68,0.00,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.00,0.00,0.00,0.00,0.00
"15089030",99.94,99.54,97.85,92.39,90.69,87.69,83.64,78.24,1.05,0.54,99.59,99.19,94.14,71.81,68.65,66.96,59.22,46.88,75.78,75.78,75.78,75.78,75.78,75.78,75.78,74.48,1.05,0.00,0.54,0.54,0.54,0.54
"15089041",99.95,99.95,96.17,92.62,91.86,76.69,54.52,7.36,0.00,0.00,99.95,99.95,96.17,92.62,91.86,76.69,54.52,7.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089042",98.23,98.23,96.81,79.18,75.43,24.91,20.78,10.90,0.00,0.00,98.23,98.23,96.81,79.18,75.43,24.91,20.78,10.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089043",99.70,99.70,99.70,99.70,99.70,78.15,76.66,71.59,70.30,0.00,99.70,99.70,99.70,99.70,99.70,13.83,8.13,1.51,70.14,70.14,70.14,70.14,70.14,70.14,70.14,70.14,70.14,0.00,0.00,0.00,0.00,0.00
"15089045",100.00,100.00,98.45,98.05,97.89,97.31,69.39,0.00,0.00,0.00,100.00,100.00,98.45,98.05,97.89,97.31,69.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089055",98.47,96.91,94.20,93.83,93.83,92.92,88.42,86.59,86.59,0.00,96.28,93.86,52.34,16.50,16.50,15.40,4.49,0.00,86.59,86.59,86.59,86.59,86.59,86.59,86.59,86.59,86.59,0.00,0.00,0.00,0.00,0.00
"15089075",100.00,100.00,99.97,99.89,98.53,98.27,95.70,91.07,91.07,0.00,99.99,99.99,99.96,98.81,96.87,96.62,86.20,52.72,91.07,91.07,91.07,91.07,91.07,91.07,91.07,91.07,91.07,0.00,0.00,0.00,0.00,0.00
"15089130",100.00,100.00,99.26,35.13,34.63,33.50,22.49,12.99,0.00,0.00,100.00,100.00,99.26,35.13,34.63,33.50,22.49,12.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089165",99.99,99.99,99.64,62.20,59.76,49.38,33.48,10.80,0.00,0.00,99.99,99.99,99.64,62.20,59.76,49.38,33.48,10.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089175",99.99,99.99,96.68,73.49,69.96,60.25,42.36,7.21,0.00,0.00,99.99,99.99,96.68,73.49,69.96,60.25,42.36,7.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089185",99.97,99.97,99.97,97.03,96.15,91.26,46.74,0.00,0.00,0.00,99.97,99.97,99.97,97.03,96.15,91.26,46.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089195",89.61,82.94,63.12,16.73,12.30,12.24,9.04,5.30,1.77,1.77,88.48,81.81,61.98,15.32,11.16,11.10,7.90,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,1.77,1.77,1.77
"15089235",89.46,81.19,74.76,51.88,51.10,43.64,29.86,7.02,6.79,0.24,89.46,81.19,74.76,51.88,51.10,43.64,29.86,5.24,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,0.00,0.24,0.24,0.24,0.24
"15089245",100.00,100.00,99.36,98.84,98.84,98.81,68.05,31.80,0.00,0.00,100.00,100.00,99.36,98.84,98.84,98.81,68.05,31.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15089305",99.92,99.71,98.48,96.72,94.38,89.70,76.92,56.21,0.63,0.63,99.92,99.71,98.42,96.35,92.07,87.22,70.77,47.48,22.57,22.57,22.57,22.57,22.57,22.57,22.57,22.57,0.00,0.00,0.63,0.63,0.63,0.63
"15089307",99.33,99.33,96.53,86.79,86.01,41.89,32.82,22.18,7.05,0.00,99.33,99.33,93.52,83.77,82.99,35.07,29.16,18.53,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,0.00,0.00,0.00,0.00,0.00
"15089310",96.20,94.56,80.46,70.96,70.57,58.57,52.07,52.07,51.44,0.00,90.57,88.32,50.76,25.09,23.97,13.82,8.88,3.85,52.07,52.07,52.07,52.07,52.07,52.07,52.07,52.07,51.44,0.00,0.00,0.00,0.00,0.00
"15089365",100.00,100.00,100.00,100.00,99.72,95.62,86.15,86.15,86.15,0.00,99.99,99.99,99.99,99.52,99.08,93.62,61.47,0.00,86.15,86.15,86.15,86.15,86.15,86.15,86.15,86.15,86.15,0.00,0.00,0.00,0.00,0.00
