"ags";"firmen_in_gwg_gesamt";"firmen_angeschlossen_absolut";"firmen_angeschlossen_prozent";"firmen_anschliessbar_absolut";"firmen_anschliessbar_prozent";"firmen_unangeschlossen_absolut";"firmen_unangeschlossen_prozent"
"01051039";0;0;0.0;0;0.0;0;0.0
"01051043";0;0;0.0;0;0.0;0;0.0
"01051044";138;81;58.7;39;28.3;18;13.0
"01051045";0;0;0.0;0;0.0;0;0.0
"01051046";0;0;0.0;0;0.0;0;0.0
"01051047";0;0;0.0;0;0.0;0;0.0
"01051048";25;23;92.0;0;0.0;2;8.0
"01051049";4;0;0.0;0;0.0;4;100.0
"01051050";0;0;0.0;0;0.0;0;0.0
"01051051";4;0;0.0;0;0.0;4;100.0
"01051052";0;0;0.0;0;0.0;0;0.0
"01051053";0;0;0.0;0;0.0;0;0.0
"01051054";0;0;0.0;0;0.0;0;0.0
"01051057";4;0;0.0;0;0.0;4;100.0
"01051058";0;0;0.0;0;0.0;0;0.0
"01051060";0;0;0.0;0;0.0;0;0.0
"01051061";0;0;0.0;0;0.0;0;0.0
"01051062";0;0;0.0;0;0.0;0;0.0
"01051063";0;0;0.0;0;0.0;0;0.0
"01051064";0;0;0.0;0;0.0;0;0.0
"01051065";1;0;0.0;0;0.0;1;100.0
"01051067";1;0;0.0;1;100.0;0;0.0
"01051068";0;0;0.0;0;0.0;0;0.0
"01051069";0;0;0.0;0;0.0;0;0.0
"01051071";4;0;0.0;0;0.0;4;100.0
"01051072";42;0;0.0;0;0.0;42;100.0
"01051073";0;0;0.0;0;0.0;0;0.0
"01051074";36;11;30.6;25;69.4;0;0.0
"01051075";1;0;0.0;0;0.0;1;100.0
"01051076";0;0;0.0;0;0.0;0;0.0
"01051077";0;0;0.0;0;0.0;0;0.0
"01051078";0;0;0.0;0;0.0;0;0.0
"01051079";0;0;0.0;0;0.0;0;0.0
"01051080";0;0;0.0;0;0.0;0;0.0
"01051081";0;0;0.0;0;0.0;0;0.0
"01051082";3;0;0.0;0;0.0;3;100.0
"01051083";0;0;0.0;0;0.0;0;0.0
"01051084";0;0;0.0;0;0.0;0;0.0
"01051085";0;0;0.0;0;0.0;0;0.0
"01051086";0;0;0.0;0;0.0;0;0.0
"01051087";1;0;0.0;0;0.0;1;100.0
"01051088";0;0;0.0;0;0.0;0;0.0
"01051089";0;0;0.0;0;0.0;0;0.0
"01051090";0;0;0.0;0;0.0;0;0.0
"01051092";0;0;0.0;0;0.0;0;0.0
"01051093";0;0;0.0;0;0.0;0;0.0
"01051096";0;0;0.0;0;0.0;0;0.0
"01051097";7;0;0.0;0;0.0;7;100.0
"01051098";0;0;0.0;0;0.0;0;0.0
"01051099";5;0;0.0;0;0.0;5;100.0
"01051100";0;0;0.0;0;0.0;0;0.0
"01051102";0;0;0.0;0;0.0;0;0.0
"01051103";0;0;0.0;0;0.0;0;0.0
"01051104";0;0;0.0;0;0.0;0;0.0
"01051105";5;0;0.0;0;0.0;5;100.0
"01051107";0;0;0.0;0;0.0;0;0.0
"01051108";0;0;0.0;0;0.0;0;0.0
"01051109";0;0;0.0;0;0.0;0;0.0
"01051110";0;0;0.0;0;0.0;0;0.0
"01051113";3;0;0.0;0;0.0;3;100.0
"01051114";3;0;0.0;0;0.0;3;100.0
"01051117";0;0;0.0;0;0.0;0;0.0
"01051118";0;0;0.0;0;0.0;0;0.0
"01051119";0;0;0.0;0;0.0;0;0.0
"01051120";0;0;0.0;0;0.0;0;0.0
"01051121";0;0;0.0;0;0.0;0;0.0
"01051122";11;0;0.0;0;0.0;11;100.0
"01051125";0;0;0.0;0;0.0;0;0.0
"01051126";0;0;0.0;0;0.0;0;0.0
"01051127";5;0;0.0;4;80.0;1;20.0
"01051128";0;0;0.0;0;0.0;0;0.0
"01051129";0;0;0.0;0;0.0;0;0.0
"01051130";29;0;0.0;0;0.0;29;100.0
"01051131";0;0;0.0;0;0.0;0;0.0
"01051132";0;0;0.0;0;0.0;0;0.0
"01051133";0;0;0.0;0;0.0;0;0.0
"01051134";0;0;0.0;0;0.0;0;0.0
"01051135";1;0;0.0;0;0.0;1;100.0
"01051136";0;0;0.0;0;0.0;0;0.0
"01051137";0;0;0.0;0;0.0;0;0.0
"01051138";0;0;0.0;0;0.0;0;0.0
"01051139";0;0;0.0;0;0.0;0;0.0
"01051140";0;0;0.0;0;0.0;0;0.0
"01051141";0;0;0.0;0;0.0;0;0.0
"01053001";0;0;0.0;0;0.0;0;0.0
"01053002";7;0;0.0;0;0.0;7;100.0
"01053003";0;0;0.0;0;0.0;0;0.0
"01053004";0;0;0.0;0;0.0;0;0.0
"01053005";0;0;0.0;0;0.0;0;0.0
"01053006";0;0;0.0;0;0.0;0;0.0
"01053007";0;0;0.0;0;0.0;0;0.0
"01053008";0;0;0.0;0;0.0;0;0.0
"01053009";4;0;0.0;0;0.0;4;100.0
"01053010";0;0;0.0;0;0.0;0;0.0
"01053011";1;0;0.0;0;0.0;1;100.0
"01053012";14;0;0.0;0;0.0;14;100.0
"01053013";0;0;0.0;0;0.0;0;0.0
"01053014";11;0;0.0;11;100.0;0;0.0
"01053015";0;0;0.0;0;0.0;0;0.0
"01053016";0;0;0.0;0;0.0;0;0.0
"01053017";0;0;0.0;0;0.0;0;0.0
"01053018";0;0;0.0;0;0.0;0;0.0
"01053019";5;0;0.0;0;0.0;5;100.0
"01053020";77;51;66.2;0;0.0;26;33.8
"01053021";0;0;0.0;0;0.0;0;0.0
"01053022";0;0;0.0;0;0.0;0;0.0
"01053023";7;0;0.0;0;0.0;7;100.0
"01053024";0;0;0.0;0;0.0;0;0.0
"01053025";1;0;0.0;0;0.0;1;100.0
"01053026";0;0;0.0;0;0.0;0;0.0
"01053027";29;0;0.0;0;0.0;29;100.0
"01053028";3;0;0.0;0;0.0;3;100.0
"01053029";0;0;0.0;0;0.0;0;0.0
"01053030";0;0;0.0;0;0.0;0;0.0
"01053031";0;0;0.0;0;0.0;0;0.0
"01053032";245;4;1.6;185;75.5;56;22.9
"01053033";0;0;0.0;0;0.0;0;0.0
"01053034";0;0;0.0;0;0.0;0;0.0
"01053035";0;0;0.0;0;0.0;0;0.0
"01053036";0;0;0.0;0;0.0;0;0.0
"01053037";4;0;0.0;0;0.0;4;100.0
"01053038";0;0;0.0;0;0.0;0;0.0
"01053039";0;0;0.0;0;0.0;0;0.0
"01053040";0;0;0.0;0;0.0;0;0.0
"01053041";9;0;0.0;0;0.0;9;100.0
"01053042";0;0;0.0;0;0.0;0;0.0
"01053043";0;0;0.0;0;0.0;0;0.0
"01053044";0;0;0.0;0;0.0;0;0.0
"01053045";0;0;0.0;0;0.0;0;0.0
"01053046";2;0;0.0;0;0.0;2;100.0
"01053047";0;0;0.0;0;0.0;0;0.0
"01053048";3;0;0.0;0;0.0;3;100.0
"01053049";0;0;0.0;0;0.0;0;0.0
"01053050";0;0;0.0;0;0.0;0;0.0
"01053051";1;0;0.0;0;0.0;1;100.0
"01053052";0;0;0.0;0;0.0;0;0.0
"01053053";0;0;0.0;0;0.0;0;0.0
"01053054";1;0;0.0;0;0.0;1;100.0
"01053056";0;0;0.0;0;0.0;0;0.0
"01053057";0;0;0.0;0;0.0;0;0.0
"01053058";0;0;0.0;0;0.0;0;0.0
"01053059";0;0;0.0;0;0.0;0;0.0
"01053060";0;0;0.0;0;0.0;0;0.0
"01053061";29;29;100.0;0;0.0;0;0.0
"01053062";0;0;0.0;0;0.0;0;0.0
"01053064";0;0;0.0;0;0.0;0;0.0
"01053066";0;0;0.0;0;0.0;0;0.0
"01053067";0;0;0.0;0;0.0;0;0.0
"01053068";0;0;0.0;0;0.0;0;0.0
"01053069";2;0;0.0;0;0.0;2;100.0
"01053070";1;0;0.0;0;0.0;1;100.0
"01053071";0;0;0.0;0;0.0;0;0.0
"01053072";0;0;0.0;0;0.0;0;0.0
"01053073";2;0;0.0;0;0.0;2;100.0
"01053074";0;0;0.0;0;0.0;0;0.0
"01053075";4;0;0.0;0;0.0;4;100.0
"01053076";0;0;0.0;0;0.0;0;0.0
"01053077";0;0;0.0;0;0.0;0;0.0
"01053078";0;0;0.0;0;0.0;0;0.0
"01053079";0;0;0.0;0;0.0;0;0.0
"01053080";0;0;0.0;0;0.0;0;0.0
"01053081";0;0;0.0;0;0.0;0;0.0
"01053082";0;0;0.0;0;0.0;0;0.0
"01053083";69;0;0.0;0;0.0;69;100.0
"01053084";0;0;0.0;0;0.0;0;0.0
"01053085";0;0;0.0;0;0.0;0;0.0
"01053086";0;0;0.0;0;0.0;0;0.0
"01053087";1;0;0.0;0;0.0;1;100.0
"01053088";0;0;0.0;0;0.0;0;0.0
"01053089";9;0;0.0;0;0.0;9;100.0
"01053090";156;0;0.0;0;0.0;156;100.0
"01053091";1;0;0.0;0;0.0;1;100.0
"01053092";0;0;0.0;0;0.0;0;0.0
"01053093";0;0;0.0;0;0.0;0;0.0
"01053094";0;0;0.0;0;0.0;0;0.0
"01053095";0;0;0.0;0;0.0;0;0.0
"01053096";0;0;0.0;0;0.0;0;0.0
"01053097";0;0;0.0;0;0.0;0;0.0
"01053098";1;0;0.0;0;0.0;1;100.0
"01053099";0;0;0.0;0;0.0;0;0.0
"01053100";90;0;0.0;7;7.8;83;92.2
"01053101";0;0;0.0;0;0.0;0;0.0
"01053102";0;0;0.0;0;0.0;0;0.0
"01053103";2;0;0.0;0;0.0;2;100.0
"01053104";0;0;0.0;0;0.0;0;0.0
"01053105";0;0;0.0;0;0.0;0;0.0
"01053106";0;0;0.0;0;0.0;0;0.0
"01053107";3;0;0.0;0;0.0;3;100.0
"01053108";7;0;0.0;0;0.0;7;100.0
"01053109";0;0;0.0;0;0.0;0;0.0
"01053110";2;0;0.0;0;0.0;2;100.0
"01053111";0;0;0.0;0;0.0;0;0.0
"01053112";1;0;0.0;0;0.0;1;100.0
"01053113";0;0;0.0;0;0.0;0;0.0
"01053114";0;0;0.0;0;0.0;0;0.0
"01053115";0;0;0.0;0;0.0;0;0.0
"01053116";488;471;96.5;17;3.5;0;0.0
"01053117";0;0;0.0;0;0.0;0;0.0
"01053118";0;0;0.0;0;0.0;0;0.0
"01053119";0;0;0.0;0;0.0;0;0.0
"01053120";0;0;0.0;0;0.0;0;0.0
"01053121";1;0;0.0;0;0.0;1;100.0
"01053122";0;0;0.0;0;0.0;0;0.0
"01053123";5;0;0.0;0;0.0;5;100.0
"01053124";0;0;0.0;0;0.0;0;0.0
"01053125";0;0;0.0;0;0.0;0;0.0
"01053126";0;0;0.0;0;0.0;0;0.0
"01053127";0;0;0.0;0;0.0;0;0.0
"01053128";0;0;0.0;0;0.0;0;0.0
"01053129";369;367;99.5;0;0.0;2;0.5
"01053130";0;0;0.0;0;0.0;0;0.0
"01053131";2;0;0.0;0;0.0;2;100.0
"01053132";2;0;0.0;0;0.0;2;100.0
"01053133";0;0;0.0;0;0.0;0;0.0
"01053134";0;0;0.0;0;0.0;0;0.0
"01053135";0;0;0.0;0;0.0;0;0.0
"01053136";4;0;0.0;0;0.0;4;100.0
"01054001";0;0;0.0;0;0.0;0;0.0
"01054002";3;0;0.0;0;0.0;3;100.0
"01054003";0;0;0.0;0;0.0;0;0.0
"01054004";0;0;0.0;0;0.0;0;0.0
"01054005";10;0;0.0;0;0.0;10;100.0
"01054006";1;0;0.0;0;0.0;1;100.0
"01054007";0;0;0.0;0;0.0;0;0.0
"01054009";0;0;0.0;0;0.0;0;0.0
"01054010";0;0;0.0;0;0.0;0;0.0
"01054011";0;0;0.0;0;0.0;0;0.0
"01054012";1;0;0.0;0;0.0;1;100.0
"01054013";0;0;0.0;0;0.0;0;0.0
"01054014";2;0;0.0;0;0.0;2;100.0
"01054015";0;0;0.0;0;0.0;0;0.0
"01054016";0;0;0.0;0;0.0;0;0.0
"01054017";0;0;0.0;0;0.0;0;0.0
"01054018";0;0;0.0;0;0.0;0;0.0
"01054019";27;2;7.4;4;14.8;21;77.8
"01054020";16;0;0.0;0;0.0;16;100.0
"01054022";3;0;0.0;0;0.0;3;100.0
"01054023";0;0;0.0;0;0.0;0;0.0
"01054024";0;0;0.0;0;0.0;0;0.0
"01054025";0;0;0.0;0;0.0;0;0.0
"01054026";0;0;0.0;0;0.0;0;0.0
"01054027";0;0;0.0;0;0.0;0;0.0
"01054032";0;0;0.0;0;0.0;0;0.0
"01054033";27;0;0.0;2;7.4;25;92.6
"01054034";0;0;0.0;0;0.0;0;0.0
"01054035";1;0;0.0;0;0.0;1;100.0
"01054036";16;0;0.0;16;100.0;0;0.0
"01054037";0;0;0.0;0;0.0;0;0.0
"01054038";1;0;0.0;0;0.0;1;100.0
"01054039";0;0;0.0;0;0.0;0;0.0
"01054040";0;0;0.0;0;0.0;0;0.0
"01054041";0;0;0.0;0;0.0;0;0.0
"01054042";0;0;0.0;0;0.0;0;0.0
"01054043";0;0;0.0;0;0.0;0;0.0
"01054045";0;0;0.0;0;0.0;0;0.0
"01054046";3;0;0.0;2;66.7;1;33.3
"01054048";0;0;0.0;0;0.0;0;0.0
"01054050";0;0;0.0;0;0.0;0;0.0
"01054052";0;0;0.0;0;0.0;0;0.0
"01054054";0;0;0.0;0;0.0;0;0.0
"01054055";0;0;0.0;0;0.0;0;0.0
"01054056";2924;2878;98.4;32;1.1;14;0.5
"01054057";0;0;0.0;0;0.0;0;0.0
"01054059";0;0;0.0;0;0.0;0;0.0
"01054061";1;0;0.0;0;0.0;1;100.0
"01054062";0;0;0.0;0;0.0;0;0.0
"01054063";0;0;0.0;0;0.0;0;0.0
"01054065";0;0;0.0;0;0.0;0;0.0
"01054068";3;0;0.0;0;0.0;3;100.0
"01054070";0;0;0.0;0;0.0;0;0.0
"01054071";0;0;0.0;0;0.0;0;0.0
"01054072";0;0;0.0;0;0.0;0;0.0
"01054073";0;0;0.0;0;0.0;0;0.0
"01054074";0;0;0.0;0;0.0;0;0.0
"01054075";16;0;0.0;0;0.0;16;100.0
"01054076";40;37;92.5;3;7.5;0;0.0
"01054077";0;0;0.0;0;0.0;0;0.0
"01054078";2;0;0.0;0;0.0;2;100.0
"01054079";1;1;100.0;0;0.0;0;0.0
"01054080";0;0;0.0;0;0.0;0;0.0
"01054083";0;0;0.0;0;0.0;0;0.0
"01054084";1;0;0.0;1;100.0;0;0.0
"01054085";1;0;0.0;0;0.0;1;100.0
"01054086";0;0;0.0;0;0.0;0;0.0
"01054087";0;0;0.0;0;0.0;0;0.0
"01054088";233;0;0.0;178;76.4;55;23.6
"01054089";0;0;0.0;0;0.0;0;0.0
"01054090";0;0;0.0;0;0.0;0;0.0
"01054091";1;0;0.0;0;0.0;1;100.0
"01054092";0;0;0.0;0;0.0;0;0.0
"01054093";0;0;0.0;0;0.0;0;0.0
"01054094";0;0;0.0;0;0.0;0;0.0
"01054095";1;0;0.0;1;100.0;0;0.0
"01054096";0;0;0.0;0;0.0;0;0.0
"01054097";0;0;0.0;0;0.0;0;0.0
"01054098";2;0;0.0;0;0.0;2;100.0
"01054099";2;2;100.0;0;0.0;0;0.0
"01054100";0;0;0.0;0;0.0;0;0.0
"01054101";0;0;0.0;0;0.0;0;0.0
"01054103";2;0;0.0;0;0.0;2;100.0
"01054104";0;0;0.0;0;0.0;0;0.0
"01054105";0;0;0.0;0;0.0;0;0.0
"01054106";0;0;0.0;0;0.0;0;0.0
"01054108";1;0;0.0;0;0.0;1;100.0
"01054109";4;0;0.0;0;0.0;4;100.0
"01054110";0;0;0.0;0;0.0;0;0.0
"01054113";11;0;0.0;0;0.0;11;100.0
"01054116";1;0;0.0;0;0.0;1;100.0
"01054118";0;0;0.0;0;0.0;0;0.0
"01054119";0;0;0.0;0;0.0;0;0.0
"01054120";0;0;0.0;0;0.0;0;0.0
"01054121";0;0;0.0;0;0.0;0;0.0
"01054123";0;0;0.0;0;0.0;0;0.0
"01054124";0;0;0.0;0;0.0;0;0.0
"01054125";4;4;100.0;0;0.0;0;0.0
"01054126";0;0;0.0;0;0.0;0;0.0
"01054128";15;0;0.0;0;0.0;15;100.0
"01054129";1;0;0.0;0;0.0;1;100.0
"01054130";0;0;0.0;0;0.0;0;0.0
"01054131";55;0;0.0;0;0.0;55;100.0
"01054132";0;0;0.0;0;0.0;0;0.0
"01054134";2;0;0.0;0;0.0;2;100.0
"01054135";0;0;0.0;0;0.0;0;0.0
"01054136";0;0;0.0;0;0.0;0;0.0
"01054138";91;70;76.9;4;4.4;17;18.7
"01054140";0;0;0.0;0;0.0;0;0.0
"01054141";0;0;0.0;0;0.0;0;0.0
"01054142";0;0;0.0;0;0.0;0;0.0
"01054143";0;0;0.0;0;0.0;0;0.0
"01054144";6;6;100.0;0;0.0;0;0.0
"01054145";0;0;0.0;0;0.0;0;0.0
"01054146";0;0;0.0;0;0.0;0;0.0
"01054148";0;0;0.0;0;0.0;0;0.0
"01054149";0;0;0.0;0;0.0;0;0.0
"01054150";0;0;0.0;0;0.0;0;0.0
"01054152";0;0;0.0;0;0.0;0;0.0
"01054154";0;0;0.0;0;0.0;0;0.0
"01054156";0;0;0.0;0;0.0;0;0.0
"01054157";0;0;0.0;0;0.0;0;0.0
"01054158";0;0;0.0;0;0.0;0;0.0
"01054159";0;0;0.0;0;0.0;0;0.0
"01054160";1;0;0.0;0;0.0;1;100.0
"01054161";2;0;0.0;0;0.0;2;100.0
"01054162";0;0;0.0;0;0.0;0;0.0
"01054163";0;0;0.0;0;0.0;0;0.0
"01054164";38;0;0.0;36;94.7;2;5.3
"01054165";0;0;0.0;0;0.0;0;0.0
"01054166";3;0;0.0;0;0.0;3;100.0
"01054167";8;0;0.0;7;87.5;1;12.5
"01054168";135;0;0.0;0;0.0;135;100.0
"01055001";33;0;0.0;0;0.0;33;100.0
"01055002";2;0;0.0;0;0.0;2;100.0
"01055004";80;0;0.0;15;18.8;65;81.3
"01055006";0;0;0.0;0;0.0;0;0.0
"01055007";0;0;0.0;0;0.0;0;0.0
"01055010";0;0;0.0;0;0.0;0;0.0
"01055011";0;0;0.0;0;0.0;0;0.0
"01055012";141;0;0.0;0;0.0;141;100.0
"01055014";3;0;0.0;0;0.0;3;100.0
"01055015";3;0;0.0;3;100.0;0;0.0
"01055016";30;4;13.3;26;86.7;0;0.0
"01055017";0;0;0.0;0;0.0;0;0.0
"01055018";14;2;14.3;12;85.7;0;0.0
"01055020";0;0;0.0;0;0.0;0;0.0
"01055021";154;0;0.0;152;98.7;2;1.3
"01055022";0;0;0.0;0;0.0;0;0.0
"01055023";0;0;0.0;0;0.0;0;0.0
"01055024";1;0;0.0;0;0.0;1;100.0
"01055025";4;0;0.0;0;0.0;4;100.0
"01055027";41;0;0.0;0;0.0;41;100.0
"01055028";19;4;21.1;0;0.0;15;78.9
"01055029";0;0;0.0;0;0.0;0;0.0
"01055031";0;0;0.0;0;0.0;0;0.0
"01055032";256;16;6.3;66;25.8;174;68.0
"01055033";101;2;2.0;12;11.9;87;86.1
"01055035";78;0;0.0;0;0.0;78;100.0
"01055036";0;0;0.0;0;0.0;0;0.0
"01055037";0;0;0.0;0;0.0;0;0.0
"01055038";0;0;0.0;0;0.0;0;0.0
"01055039";20;0;0.0;0;0.0;20;100.0
"01055040";170;36;21.2;0;0.0;134;78.8
"01055041";8;0;0.0;0;0.0;8;100.0
"01055042";44;7;15.9;13;29.5;24;54.5
"01055043";0;0;0.0;0;0.0;0;0.0
"01055044";35;0;0.0;0;0.0;35;100.0
"01055046";184;0;0.0;0;0.0;184;100.0
"01056001";32;0;0.0;0;0.0;32;100.0
"01056002";57;4;7.0;0;0.0;53;93.0
"01056003";3;0;0.0;0;0.0;3;100.0
"01056004";5;0;0.0;0;0.0;5;100.0
"01056005";68;0;0.0;0;0.0;68;100.0
"01056006";0;0;0.0;0;0.0;0;0.0
"01056008";25;0;0.0;3;12.0;22;88.0
"01056009";4;0;0.0;0;0.0;4;100.0
"01056010";0;0;0.0;0;0.0;0;0.0
"01056011";0;0;0.0;0;0.0;0;0.0
"01056013";63;0;0.0;0;0.0;63;100.0
"01056014";15;12;80.0;2;13.3;1;6.7
"01056015";559;79;14.1;76;13.6;404;72.3
"01056016";2;0;0.0;0;0.0;2;100.0
"01056017";0;0;0.0;0;0.0;0;0.0
"01056018";81;0;0.0;0;0.0;81;100.0
"01056019";0;0;0.0;0;0.0;0;0.0
"01056020";0;0;0.0;0;0.0;0;0.0
"01056021";4;0;0.0;0;0.0;4;100.0
"01056022";4;0;0.0;0;0.0;4;100.0
"01056023";6;0;0.0;0;0.0;6;100.0
"01056024";4;0;0.0;0;0.0;4;100.0
"01056025";14;0;0.0;0;0.0;14;100.0
"01056026";1;0;0.0;0;0.0;1;100.0
"01056027";4;0;0.0;0;0.0;4;100.0
"01056028";47;0;0.0;0;0.0;47;100.0
"01056029";3;0;0.0;2;66.7;1;33.3
"01056030";19;0;0.0;1;5.3;18;94.7
"01056031";41;0;0.0;8;19.5;33;80.5
"01056032";16;0;0.0;0;0.0;16;100.0
"01056033";0;0;0.0;0;0.0;0;0.0
"01056034";0;0;0.0;0;0.0;0;0.0
"01056035";2;0;0.0;0;0.0;2;100.0
"01056036";14;0;0.0;13;92.9;1;7.1
"01056037";0;0;0.0;0;0.0;0;0.0
"01056038";0;0;0.0;0;0.0;0;0.0
"01056039";261;6;2.3;89;34.1;166;63.6
"01056040";35;0;0.0;0;0.0;35;100.0
"01056041";386;332;86.0;0;0.0;54;14.0
"01056042";0;0;0.0;0;0.0;0;0.0
"01056043";202;8;4.0;2;1.0;192;95.0
"01056044";386;0;0.0;384;99.5;2;0.5
"01056045";0;0;0.0;0;0.0;0;0.0
"01056046";5;0;0.0;0;0.0;5;100.0
"01056047";18;0;0.0;0;0.0;18;100.0
"01056048";2238;2218;99.1;2;0.1;18;0.8
"01056049";110;41;37.3;0;0.0;69;62.7
"01056050";752;132;17.6;56;7.4;564;75.0
"01056051";1;0;0.0;0;0.0;1;100.0
"01057001";10;9;90.0;0;0.0;1;10.0
"01057002";0;0;0.0;0;0.0;0;0.0
"01057003";0;0;0.0;0;0.0;0;0.0
"01057004";0;0;0.0;0;0.0;0;0.0
"01057005";0;0;0.0;0;0.0;0;0.0
"01057006";0;0;0.0;0;0.0;0;0.0
"01057007";0;0;0.0;0;0.0;0;0.0
"01057008";2;0;0.0;0;0.0;2;100.0
"01057009";0;0;0.0;0;0.0;0;0.0
"01057010";0;0;0.0;0;0.0;0;0.0
"01057011";0;0;0.0;0;0.0;0;0.0
"01057012";0;0;0.0;0;0.0;0;0.0
"01057013";0;0;0.0;0;0.0;0;0.0
"01057015";3;2;66.7;1;33.3;0;0.0
"01057016";0;0;0.0;0;0.0;0;0.0
"01057017";0;0;0.0;0;0.0;0;0.0
"01057018";0;0;0.0;0;0.0;0;0.0
"01057020";5;0;0.0;0;0.0;5;100.0
"01057021";0;0;0.0;0;0.0;0;0.0
"01057022";3;0;0.0;0;0.0;3;100.0
"01057023";0;0;0.0;0;0.0;0;0.0
"01057024";2;0;0.0;0;0.0;2;100.0
"01057025";33;15;45.5;18;54.5;0;0.0
"01057026";0;0;0.0;0;0.0;0;0.0
"01057027";0;0;0.0;0;0.0;0;0.0
"01057028";8;0;0.0;0;0.0;8;100.0
"01057029";1;0;0.0;0;0.0;1;100.0
"01057030";2;0;0.0;0;0.0;2;100.0
"01057031";0;0;0.0;0;0.0;0;0.0
"01057032";4;4;100.0;0;0.0;0;0.0
"01057033";1;0;0.0;1;100.0;0;0.0
"01057034";0;0;0.0;0;0.0;0;0.0
"01057035";0;0;0.0;0;0.0;0;0.0
"01057037";1;0;0.0;1;100.0;0;0.0
"01057038";0;0;0.0;0;0.0;0;0.0
"01057039";0;0;0.0;0;0.0;0;0.0
"01057040";0;0;0.0;0;0.0;0;0.0
"01057041";0;0;0.0;0;0.0;0;0.0
"01057042";0;0;0.0;0;0.0;0;0.0
"01057043";20;0;0.0;0;0.0;20;100.0
"01057044";0;0;0.0;0;0.0;0;0.0
"01057045";0;0;0.0;0;0.0;0;0.0
"01057046";2;0;0.0;2;100.0;0;0.0
"01057047";3;2;66.7;0;0.0;1;33.3
"01057048";43;2;4.7;18;41.9;23;53.5
"01057049";0;0;0.0;0;0.0;0;0.0
"01057050";0;0;0.0;0;0.0;0;0.0
"01057051";4;0;0.0;0;0.0;4;100.0
"01057052";0;0;0.0;0;0.0;0;0.0
"01057053";0;0;0.0;0;0.0;0;0.0
"01057054";1;0;0.0;1;100.0;0;0.0
"01057055";0;0;0.0;0;0.0;0;0.0
"01057056";0;0;0.0;0;0.0;0;0.0
"01057057";25;0;0.0;1;4.0;24;96.0
"01057058";0;0;0.0;0;0.0;0;0.0
"01057059";0;0;0.0;0;0.0;0;0.0
"01057060";0;0;0.0;0;0.0;0;0.0
"01057062";80;0;0.0;31;38.8;49;61.3
"01057063";0;0;0.0;0;0.0;0;0.0
"01057065";0;0;0.0;0;0.0;0;0.0
"01057066";3;3;100.0;0;0.0;0;0.0
"01057067";0;0;0.0;0;0.0;0;0.0
"01057068";0;0;0.0;0;0.0;0;0.0
"01057069";2;0;0.0;0;0.0;2;100.0
"01057070";0;0;0.0;0;0.0;0;0.0
"01057071";0;0;0.0;0;0.0;0;0.0
"01057072";0;0;0.0;0;0.0;0;0.0
"01057073";11;0;0.0;0;0.0;11;100.0
"01057074";148;1;0.7;147;99.3;0;0.0
"01057076";0;0;0.0;0;0.0;0;0.0
"01057077";4;0;0.0;0;0.0;4;100.0
"01057078";0;0;0.0;0;0.0;0;0.0
"01057079";6;0;0.0;0;0.0;6;100.0
"01057080";1;1;100.0;0;0.0;0;0.0
"01057081";0;0;0.0;0;0.0;0;0.0
"01057082";0;0;0.0;0;0.0;0;0.0
"01057083";0;0;0.0;0;0.0;0;0.0
"01057084";0;0;0.0;0;0.0;0;0.0
"01057085";13;0;0.0;0;0.0;13;100.0
