"AGS";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"08118073";99.63;99.49;98.76;95.38;91.53;85.56;57.35;57.35;55.70;0.00;99.55;99.39;98.52;93.57;85.17;72.25;2.93;2.93;55.70;55.70;55.70;55.70;55.70;55.70;55.70;55.70;55.70;0.00;0.00;0.00;0.00;0.00
"08118074";100.00;100.00;99.56;98.54;98.54;98.54;95.37;95.37;93.81;0.00;99.99;99.99;98.05;96.65;96.65;96.65;78.08;78.08;93.81;93.81;93.81;93.81;93.81;93.81;93.81;93.81;93.81;0.00;0.00;0.00;0.00;0.00
"08118076";99.81;99.60;89.05;76.42;70.52;61.70;51.59;51.59;43.99;0.00;99.80;99.60;81.71;50.12;37.65;27.61;13.17;13.17;43.99;43.99;43.99;43.99;43.99;43.99;43.99;43.99;43.99;0.00;0.00;0.00;0.00;0.00
"08118077";99.82;99.19;98.83;98.83;98.83;98.48;81.49;81.49;43.18;0.00;99.58;98.45;98.09;98.09;98.09;97.75;57.58;57.58;43.18;43.18;43.18;43.18;43.18;43.18;43.18;43.18;43.18;0.00;0.00;0.00;0.00;0.00
"08118078";99.97;99.93;99.88;99.34;98.03;96.72;78.73;78.73;75.52;0.00;99.96;99.92;99.84;99.16;91.30;85.60;47.66;47.66;75.52;75.52;75.52;75.52;75.52;75.52;75.52;75.52;75.52;0.00;0.00;0.00;0.00;0.00
"08118079";99.94;99.92;99.61;98.35;97.65;96.22;86.49;86.49;79.53;0.00;99.92;99.88;99.40;96.38;93.58;85.54;53.98;53.98;79.53;79.53;79.53;79.53;79.53;79.53;79.53;79.53;79.53;0.00;0.00;0.00;0.00;0.00
"08118080";99.88;99.85;94.48;86.69;81.34;71.55;58.73;58.73;50.79;0.00;99.88;99.85;93.86;84.14;73.99;51.59;32.68;32.68;50.79;50.79;50.79;50.79;50.79;50.79;50.79;50.79;50.79;0.00;0.00;0.00;0.00;0.00
"08118081";99.99;99.99;98.05;81.58;78.67;77.57;64.63;64.63;61.38;0.00;99.70;99.70;96.60;74.94;68.48;61.88;21.79;21.79;61.38;61.38;61.38;61.38;61.38;61.38;61.38;61.38;61.38;0.00;0.00;0.00;0.00;0.00
"08119001";95.65;92.59;68.68;35.47;34.76;33.72;29.86;29.86;29.06;0.00;95.58;92.51;68.60;15.78;12.63;7.38;1.35;1.35;29.06;29.06;29.06;29.06;29.06;29.06;29.06;29.06;29.06;0.00;0.00;0.00;0.00;0.00
"08119003";81.18;80.89;80.58;80.58;80.58;80.44;75.89;75.89;74.35;0.00;66.89;47.68;37.31;37.31;37.23;36.97;18.02;18.02;74.35;74.35;74.35;74.35;74.35;74.35;74.35;74.35;74.35;0.00;0.00;0.00;0.00;0.00
