"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"09761";99.90;99.90;99.90;99.88;99.88;99.83;97.49;95.80;78.75;66.38;50.85;50.85;99.90;99.90;99.90;99.73;99.70;99.31;95.13;93.34;75.11;57.98;45.27;45.27;45.27;45.27;45.27;45.27;45.27;45.27;45.27;44.53;44.53;44.53;12.38;12.22;12.22;12.06
"09762";100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.79;95.25;86.40;81.42;81.42;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.79;92.60;78.60;67.18;67.18;67.18;67.18;67.18;67.18;67.18;67.18;67.18;67.18;67.18;67.18;26.81;26.81;26.81;26.81
"09763";100.00;100.00;100.00;99.99;99.99;99.97;96.64;95.54;79.29;73.08;71.15;70.76;100.00;100.00;100.00;99.86;99.86;99.81;94.84;94.26;62.01;48.83;57.16;57.16;57.16;57.16;57.16;57.16;57.16;57.16;57.16;57.16;57.16;57.16;49.56;48.82;48.82;48.02
"09764";100.00;100.00;100.00;100.00;100.00;100.00;99.45;99.23;97.23;96.04;88.16;88.16;100.00;100.00;100.00;100.00;100.00;100.00;99.45;98.47;93.61;84.38;59.71;59.71;59.71;59.71;59.71;59.71;59.71;59.71;59.71;59.71;59.71;59.71;38.60;37.42;37.42;37.42
"09771";99.91;99.79;99.64;99.38;99.38;99.35;95.99;93.94;79.90;67.18;42.76;39.51;99.75;99.43;98.43;98.15;98.15;98.13;89.48;87.05;70.11;51.96;34.26;34.26;34.26;34.26;34.26;34.26;34.26;34.26;34.26;34.12;27.35;23.85;23.50;18.43;18.32;18.32
"09772";99.85;99.85;99.76;99.62;99.52;99.36;94.52;88.15;70.03;61.76;44.79;44.79;98.86;98.84;98.60;98.42;98.17;97.57;89.73;78.63;60.76;48.89;27.00;27.00;27.00;27.00;27.00;27.00;27.00;27.00;27.00;26.97;26.97;26.97;21.00;20.74;20.08;20.08
"09773";99.85;99.85;99.48;99.39;99.39;99.16;94.66;93.04;71.26;60.46;44.01;42.86;98.38;98.38;97.79;97.72;97.63;97.46;84.31;82.40;51.31;34.39;36.38;36.38;36.38;36.38;36.38;36.38;36.38;36.38;36.38;36.37;21.74;20.31;31.11;26.11;25.07;25.07
"09774";99.92;99.74;98.70;98.29;98.23;97.83;92.87;91.75;76.62;59.31;42.73;33.47;99.75;99.31;97.21;97.10;96.65;95.73;85.61;80.07;62.04;41.48;29.09;29.09;29.09;29.09;29.09;29.09;29.09;29.09;29.09;27.92;22.32;11.59;24.60;23.34;23.28;23.28
"09775";100.00;100.00;99.97;99.97;99.87;99.67;93.88;93.16;83.34;67.36;56.62;56.62;100.00;99.94;99.85;99.78;99.30;98.89;76.19;74.84;60.38;35.14;47.99;47.99;47.99;47.99;47.99;47.99;47.99;47.99;47.99;47.93;46.86;46.86;18.42;15.93;14.84;14.84
"09776";100.00;100.00;99.44;99.44;99.44;99.44;97.04;96.32;87.60;73.27;53.26;52.82;100.00;100.00;99.33;98.11;97.84;95.33;86.70;85.10;74.20;53.44;44.46;44.46;44.46;44.46;44.46;44.46;44.46;44.46;44.46;44.46;44.46;44.46;11.51;10.09;10.09;9.64
"09777";100.00;100.00;99.99;99.99;99.99;99.99;97.75;96.89;90.80;75.52;63.64;60.05;100.00;100.00;99.81;99.65;99.65;99.62;94.56;91.19;79.51;57.35;41.77;41.77;41.77;41.77;41.77;41.77;41.77;41.77;41.77;41.77;41.77;38.05;26.10;24.63;23.74;23.74
"09778";99.82;99.56;99.46;98.85;98.85;98.85;95.61;91.75;69.14;57.37;51.68;51.68;99.65;99.33;99.07;98.33;98.25;97.79;92.55;83.70;61.20;40.88;17.58;17.58;17.58;17.58;17.58;17.58;17.58;17.58;17.58;17.41;17.41;17.41;36.06;35.80;35.80;35.80
"09779";99.70;99.70;99.44;99.27;99.10;98.84;90.97;85.15;75.21;64.90;58.98;58.98;99.54;99.54;99.22;98.23;97.88;96.91;76.42;70.60;60.35;42.45;43.16;43.16;43.16;43.16;43.16;43.16;43.16;43.16;43.16;43.13;43.13;43.13;25.94;22.64;22.64;22.64
"09780";99.90;99.90;99.74;98.63;98.63;98.55;97.34;97.01;90.68;79.49;75.59;74.86;99.32;99.32;98.82;97.26;97.26;97.15;94.15;93.50;82.91;59.09;63.66;63.66;63.66;63.66;63.66;63.66;63.66;63.66;63.66;62.47;62.47;61.74;31.73;31.17;31.15;31.15
"10041";99.99;99.97;99.83;99.76;99.69;99.49;98.07;97.62;93.95;70.73;60.69;55.76;99.94;99.84;99.15;99.02;98.85;98.13;96.28;95.76;89.33;54.60;57.40;57.40;57.40;57.40;57.40;57.40;57.40;57.40;57.40;57.40;57.00;51.85;8.76;8.76;8.60;8.60
"10042";99.86;99.86;99.83;99.77;99.77;99.77;97.67;94.69;80.04;59.18;43.61;31.41;99.86;99.86;97.93;97.58;97.58;97.46;93.25;88.41;71.06;42.93;38.59;38.59;38.59;38.59;38.59;38.59;38.59;38.59;38.59;38.45;38.45;26.25;6.35;6.35;6.21;6.21
"10043";99.54;99.54;99.14;98.61;98.61;98.11;96.76;92.22;86.73;76.78;72.87;68.31;99.48;99.48;97.89;97.45;97.39;96.52;94.24;88.74;75.81;55.28;60.87;60.87;60.87;60.87;60.87;60.87;60.87;60.87;60.87;60.87;60.87;56.31;19.72;19.72;19.69;19.69
"10044";99.75;99.51;98.98;98.68;98.68;98.55;96.00;92.43;84.65;68.99;59.53;57.98;99.12;98.97;96.73;96.12;96.04;95.80;90.63;87.76;76.56;48.01;53.60;53.60;53.60;53.60;53.60;53.60;53.60;53.60;53.60;53.60;53.60;52.04;10.68;10.68;10.04;10.04
"10045";99.66;99.66;99.66;99.63;99.48;99.01;96.76;95.55;89.17;78.32;73.89;73.77;99.66;99.66;99.66;99.63;99.38;98.44;94.76;91.97;79.86;50.28;61.97;61.97;61.97;61.97;61.97;61.97;61.97;61.97;61.97;61.56;61.35;61.19;16.71;16.71;16.32;16.32
"10046";99.82;99.36;98.62;98.27;98.24;98.15;92.70;85.77;68.79;49.36;34.88;29.23;97.66;95.44;94.26;93.91;93.81;92.48;85.74;75.36;56.69;33.15;29.52;29.52;29.52;29.52;29.52;29.52;29.52;29.52;29.52;29.52;25.18;19.53;11.09;11.09;11.00;11.00
"11000";99.96;99.91;99.84;99.72;99.70;99.59;97.72;97.47;95.15;90.54;82.17;76.25;99.86;99.85;99.48;99.26;99.13;98.40;95.28;94.06;88.06;69.27;79.13;79.13;79.13;79.13;79.13;79.13;79.13;79.13;79.13;79.11;76.90;70.69;18.44;18.44;18.44;18.44
"12051";99.71;99.67;97.81;97.72;97.52;96.86;93.10;92.17;77.38;59.05;4.04;4.04;99.67;99.67;97.81;97.72;97.52;96.86;87.39;86.46;77.38;59.05;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.00;0.00;0.00;4.04;4.04;4.04;4.04
"12052";99.78;99.60;99.56;99.16;99.16;98.69;97.92;97.84;96.73;94.47;92.95;82.97;99.24;99.14;94.99;94.04;93.99;93.81;91.07;90.44;82.24;65.95;72.02;72.02;72.02;72.02;72.02;72.02;72.02;72.02;72.02;72.02;72.02;41.95;61.71;61.71;61.71;61.71
"12053";99.96;99.96;98.93;97.83;97.83;97.49;94.60;94.43;90.92;83.42;37.83;23.63;99.96;99.96;95.86;95.25;95.23;94.97;90.18;88.17;76.88;58.61;58.02;58.02;58.02;58.02;58.02;58.02;58.02;58.02;58.02;58.02;31.47;17.26;7.46;7.46;7.46;7.46
