AGS;alle Technologien ≥ 1 Mbit/s;alle Technologien ≥ 2 Mbit/s;alle Technologien ≥ 6 Mbit/s;alle Technologien ≥ 16 Mbit/s;alle Technologien ≥ 30 Mbit/s;alle Technologien ≥ 50 Mbit/s;alle Technologien ≥ 100 Mbit/s;alle Technologien ≥ 200 Mbit/s;alle Technologien ≥ 400 Mbit/s;alle Technologien ≥ 1000 Mbit/s;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;mobile Technologien ≥ 1 Mbit/s;mobile Technologien ≥ 2 Mbit/s;mobile Technologien ≥ 6 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
07140093;100.00;100.00;100.00;95.65;95.65;95.65;86.72;8.20;0.00;0.00;99.13;99.13;95.94;95.65;95.65;95.65;86.72;8.20;0.00;0.00;100.00;100.00;100.00;99.13;99.13;95.94;95.65;95.65;95.65;86.72;8.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140094;100.00;100.00;97.87;44.74;44.74;44.74;0.00;0.00;0.00;0.00;44.74;44.74;44.74;44.74;44.74;44.74;0.00;0.00;0.00;0.00;100.00;100.00;97.87;42.00;42.00;42.00;42.00;42.00;42.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140095;100.00;100.00;100.00;99.99;99.99;95.03;77.50;12.00;12.00;12.00;99.99;99.99;99.99;99.99;99.99;95.03;77.50;12.00;12.00;12.00;100.00;100.00;100.00;99.99;99.99;99.99;99.99;99.99;95.03;77.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.00;12.00;12.00;12.00
07140096;100.00;100.00;100.00;95.01;95.01;95.01;91.60;85.52;85.52;5.31;99.99;95.12;95.01;95.01;95.01;95.01;91.60;85.52;85.52;5.31;100.00;100.00;100.00;99.95;93.04;92.15;92.15;92.15;92.15;73.99;0.00;80.25;80.25;80.25;80.25;80.25;80.25;80.25;80.25;80.25;0.04;5.28;5.28;5.28;5.28
07140098;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;92.59;92.59;92.59;10.37;10.37;10.37;2.56;2.56;2.56;2.56;2.56;2.56;2.56;2.56;2.56;2.56;2.56;2.56;100.00;100.00;100.00;100.00
07140099;100.00;100.00;100.00;99.48;99.48;99.48;99.48;99.48;99.48;42.07;100.00;99.48;99.48;99.48;99.48;99.48;99.48;99.48;99.48;42.07;100.00;100.00;100.00;100.00;91.65;76.57;76.57;76.20;76.20;51.65;38.42;87.31;87.31;87.31;87.31;87.31;87.31;87.31;87.31;87.31;0.00;19.99;19.99;19.99;19.99
07140100;100.00;100.00;100.00;77.14;76.71;76.71;22.61;22.61;19.13;19.13;100.00;99.99;79.00;77.14;76.71;76.71;22.61;22.61;19.13;19.13;100.00;100.00;100.00;100.00;98.69;78.00;73.00;73.00;73.00;0.39;0.38;3.52;3.52;3.52;3.52;3.52;3.52;3.52;3.52;0.00;0.00;19.13;19.13;19.13;19.13
07140101;100.00;100.00;100.00;99.25;99.25;98.47;96.81;96.81;96.81;90.92;100.00;99.25;99.25;99.25;99.25;98.47;96.81;96.81;96.81;90.92;100.00;100.00;100.00;97.19;96.45;96.45;96.45;95.78;71.00;9.96;0.82;89.34;89.34;89.34;89.34;89.34;89.34;89.34;89.34;89.34;0.82;90.92;90.92;90.92;90.92
07140102;100.00;100.00;100.00;65.00;65.00;65.00;0.00;0.00;0.00;0.00;93.00;81.00;65.00;65.00;65.00;65.00;0.00;0.00;0.00;0.00;100.00;100.00;99.41;93.00;81.00;65.00;65.00;65.00;65.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140104;100.00;100.00;100.00;99.05;99.05;98.70;98.70;98.34;40.79;40.79;99.05;99.05;99.05;99.05;99.05;98.70;98.70;98.34;40.79;40.79;99.64;99.64;99.64;82.14;75.61;75.61;75.61;75.61;75.26;42.24;36.22;93.86;93.86;93.86;93.86;93.86;93.86;93.86;93.50;0.61;0.00;4.75;4.75;4.75;4.75
07140105;100.00;100.00;100.00;96.00;96.00;96.00;96.00;96.00;82.72;31.57;100.00;100.00;96.30;96.00;96.00;96.00;96.00;96.00;82.72;31.57;100.00;100.00;100.00;99.99;99.99;66.00;66.00;66.00;66.00;0.00;0.00;96.00;96.00;96.00;96.00;96.00;96.00;96.00;96.00;82.72;0.00;31.57;31.57;31.57;31.57
07140106;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;31.20;31.20;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;31.20;31.20;100.00;100.00;76.52;100.00;100.00;90.00;90.00;90.00;90.00;66.38;31.20;95.26;95.26;95.26;95.26;95.26;95.26;95.26;89.00;0.54;0.54;1.30;1.30;1.30;1.30
