"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_1000"
"03155";98.39;98.01;96.43;92.21;89.38;84.79;66.51;51.37;27.57;16.72;98.16;97.50;94.58;87.40;85.10;80.86;58.19;33.49;41.95;41.95;41.95;41.95;41.95;41.95;41.95;41.95;26.54;15.68;1.50
"05762";98.42;97.90;95.00;88.57;72.81;67.85;54.64;47.10;44.55;3.56;95.78;93.95;81.63;65.68;62.61;57.51;40.87;18.36;44.55;44.55;44.55;44.55;44.55;44.55;44.55;44.55;44.55;3.56;0.00
"09779";98.43;98.27;95.03;87.91;83.26;77.02;61.71;55.01;50.59;50.59;94.57;94.33;84.57;69.85;65.80;62.46;48.13;27.79;43.12;43.12;43.12;43.12;43.12;43.12;43.12;43.12;43.12;43.12;12.10
"07132";98.44;98.44;98.43;97.74;95.67;89.06;59.89;32.16;4.27;0.65;97.96;97.96;97.95;96.93;94.86;88.25;53.03;24.56;25.50;25.50;25.50;25.50;25.50;25.50;25.50;16.82;3.66;0.04;0.61
"03458";98.44;98.28;95.16;88.52;86.22;75.37;56.89;55.27;54.71;49.70;97.03;96.83;88.91;74.87;67.96;43.78;9.11;4.56;27.92;27.92;27.92;27.92;27.92;27.92;27.92;27.35;27.18;16.85;35.20
"05958";98.44;98.29;95.98;93.41;90.52;86.62;73.34;66.34;62.81;27.76;97.62;96.84;93.18;85.38;79.79;73.79;45.10;24.42;62.70;62.70;62.70;62.70;62.70;62.70;62.70;62.70;62.70;27.63;0.13
"03254";98.46;96.82;95.83;95.26;91.46;90.12;69.74;58.54;44.57;44.57;98.43;96.82;94.89;93.17;88.64;86.73;59.52;40.37;43.83;43.83;43.83;43.83;43.83;43.83;43.83;43.72;43.72;43.72;0.97
"16072";98.46;98.46;96.41;88.49;85.70;80.35;66.19;57.40;11.64;0.00;97.68;97.68;96.00;85.19;80.69;74.79;55.81;37.67;51.20;51.20;51.20;51.20;51.20;51.20;51.20;49.96;11.64;0.00;0.00
"09274";98.49;98.30;97.43;93.30;89.59;86.90;67.27;57.70;45.31;45.31;88.79;87.22;85.23;73.72;70.99;67.95;52.90;40.73;36.51;36.51;36.51;36.51;36.51;36.51;36.51;36.51;36.51;36.51;10.75
"09186";98.52;98.52;97.40;92.62;90.92;87.60;78.23;63.80;54.51;54.51;97.46;97.46;95.97;86.54;86.13;82.76;70.29;46.60;39.54;39.54;39.54;39.54;39.54;39.54;39.54;39.54;39.54;39.54;20.05
"03453";98.52;97.80;94.32;86.18;77.78;63.21;37.41;33.12;30.87;30.37;95.45;94.11;84.17;72.14;59.83;43.75;16.44;7.74;22.36;22.36;22.36;22.36;22.36;22.36;22.36;21.24;20.48;19.98;15.88
"08421";98.56;97.48;87.78;79.52;70.61;70.00;56.62;54.29;51.11;0.80;93.63;91.51;69.64;56.94;52.50;47.45;34.47;15.72;51.11;51.11;51.11;51.11;51.11;51.11;51.11;51.11;51.11;0.00;0.80
"09575";98.57;98.20;97.21;93.50;92.86;91.39;79.94;61.53;36.45;36.45;98.28;97.60;96.09;86.79;82.54;78.31;62.67;34.21;45.95;45.95;45.95;45.95;45.95;45.95;45.95;45.95;30.03;30.03;7.18
"15085";98.59;98.32;96.19;85.40;82.63;78.95;65.36;47.99;13.25;10.13;98.05;97.98;95.26;84.22;81.42;77.37;60.27;33.52;31.75;31.75;31.75;31.75;31.75;31.75;31.75;31.47;3.34;0.00;10.13
"16076";98.59;98.46;95.87;87.99;85.66;79.30;58.91;36.31;19.60;13.64;95.31;94.77;88.68;82.68;79.35;76.40;52.33;20.01;32.17;32.17;32.17;32.17;32.17;32.17;32.17;32.17;19.60;13.64;0.00
