AGS;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 8 Mbit/s;leitungsg. Technologien ≥ 10 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 8 Mbit/s;DSL ≥ 10 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 8 Mbit/s;CATV ≥ 10 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
09162011;100.00;100.00;100.00;100.00;100.00;99.98;99.68;99.60;99.05;98.67;90.64;89.52;100.00;100.00;100.00;100.00;99.98;99.84;99.13;98.73;96.36;91.71;89.01;89.01;89.01;89.01;89.01;89.01;89.01;89.01;89.01;89.01;88.92;86.89;57.52;55.74;55.21;43.78
09162012;100.00;99.99;99.99;99.99;99.99;99.98;99.17;99.17;98.31;97.45;93.59;92.66;99.99;99.99;99.99;99.98;99.98;99.94;97.22;96.90;94.57;92.22;91.36;91.36;91.36;91.36;91.36;91.36;91.36;91.36;91.36;91.33;91.33;91.11;53.84;51.89;51.73;48.40
09162013;99.98;99.98;99.95;99.95;99.95;99.94;99.06;99.06;99.05;98.94;97.92;97.77;99.97;99.97;99.53;99.51;99.21;98.26;96.43;95.79;94.26;90.43;97.49;97.49;97.49;97.49;97.49;97.49;97.49;97.49;97.49;97.49;97.49;97.35;42.58;41.10;40.60;36.96
09162014;100.00;100.00;100.00;100.00;100.00;100.00;99.91;99.91;99.91;99.91;98.95;98.85;100.00;100.00;100.00;100.00;100.00;100.00;99.91;99.73;96.60;87.75;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;62.07;61.05;60.11;53.92
09162015;99.95;99.95;99.83;99.79;99.79;99.66;98.28;98.24;96.91;95.65;93.55;91.49;99.95;99.95;99.54;99.49;99.49;99.45;92.73;92.68;88.74;81.74;87.78;87.78;87.78;87.78;87.78;87.78;87.78;87.78;87.78;87.78;87.78;83.65;24.31;24.29;23.33;21.31
09162016;100.00;100.00;100.00;100.00;100.00;100.00;99.96;99.96;99.82;99.52;95.23;94.85;99.95;99.95;99.92;99.92;99.92;99.86;99.69;99.68;97.73;94.10;93.87;93.87;93.87;93.87;93.87;93.87;93.87;93.87;93.87;93.87;93.87;93.85;46.52;45.86;45.58;44.54
09162017;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.94;99.22;95.62;95.57;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.83;97.44;95.21;95.21;95.21;95.21;95.21;95.21;95.21;95.21;95.21;95.21;95.21;95.16;69.15;65.69;65.69;65.69
09162018;100.00;100.00;100.00;100.00;100.00;100.00;99.97;99.97;99.97;99.60;98.47;98.38;99.92;99.92;99.92;99.92;99.92;99.92;99.89;99.89;99.38;94.92;98.39;98.39;98.39;98.39;98.39;98.39;98.39;98.39;98.39;98.39;98.39;98.30;45.90;40.67;40.51;39.87
09162019;100.00;100.00;100.00;100.00;100.00;100.00;99.79;99.73;99.32;99.07;95.58;95.48;100.00;100.00;100.00;99.99;99.97;99.85;98.77;98.62;97.85;95.23;94.95;94.95;94.95;94.95;94.95;94.95;94.95;94.95;94.95;94.95;94.95;94.43;14.92;14.90;14.82;13.94
09162020;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.88;99.80;99.07;98.11;100.00;100.00;100.00;100.00;100.00;99.68;99.65;98.97;98.28;92.07;97.11;97.11;97.11;97.11;97.11;97.11;97.11;97.11;97.11;97.11;97.11;96.12;32.16;32.09;31.72;27.39
