"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 8 Mbit/s","leitungsg. Technologien ≥ 10 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 8 Mbit/s","DSL ≥ 10 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 8 Mbit/s","CATV ≥ 10 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"06438001",100.00,100.00,100.00,100.00,100.00,100.00,99.51,99.51,99.12,98.80,98.67,93.57,100.00,100.00,99.55,99.43,99.38,99.26,97.55,97.53,94.03,69.36,74.97,74.97,74.97,74.97,74.97,74.97,74.97,74.97,74.97,74.97,74.97,54.44,55.70,55.70,55.70,55.70
"06435200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06438002",99.86,99.86,99.82,99.80,99.80,99.71,99.47,99.47,98.73,96.04,88.89,52.42,99.86,99.86,99.82,99.80,99.80,99.65,98.00,98.00,96.03,81.29,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,85.17,46.03,13.13,13.13,13.13,13.13
"06438003",99.65,99.65,99.65,99.65,99.65,99.65,99.13,98.37,95.47,88.25,63.16,54.66,99.65,99.65,99.65,99.65,99.65,99.65,99.13,98.37,95.47,83.40,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,51.43,35.49,25.20,25.20,25.20,25.20
"06438004",99.07,99.07,99.05,99.05,99.05,99.05,99.04,98.93,98.28,86.75,29.13,0.55,99.07,99.07,99.05,99.05,99.05,99.05,99.04,98.92,98.15,81.40,28.58,28.58,28.58,28.58,28.58,28.58,28.58,28.58,28.58,28.58,28.58,0.00,0.55,0.55,0.55,0.55
"06438005",100.00,100.00,100.00,100.00,100.00,100.00,99.22,99.22,99.16,92.59,85.42,5.93,100.00,100.00,100.00,100.00,100.00,100.00,97.41,97.41,94.02,78.07,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,0.00,5.93,5.93,5.93,5.93
"06438006",99.94,99.94,99.94,99.83,99.83,99.49,99.22,99.19,98.85,97.89,95.80,71.57,99.94,99.94,99.94,99.83,99.83,99.48,99.21,99.18,98.85,93.96,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,79.41,51.68,25.96,25.96,25.96,25.96
"06438007",99.69,99.38,98.97,98.56,98.51,98.01,97.26,88.87,88.68,88.68,88.68,86.49,99.49,98.70,96.44,89.86,89.81,85.34,52.39,29.28,2.42,1.26,39.02,39.02,39.02,39.02,39.02,39.02,39.02,39.02,39.02,39.02,39.02,25.64,86.26,86.26,86.26,86.26
"06438008",100.00,100.00,100.00,100.00,100.00,100.00,99.61,99.52,96.84,90.94,55.20,42.58,100.00,100.00,100.00,100.00,100.00,100.00,99.61,99.52,96.63,88.36,55.07,55.07,55.07,55.07,55.07,55.07,55.07,55.07,55.07,55.07,55.07,41.47,1.11,1.11,1.11,1.11
"06438009",99.79,99.79,99.79,99.79,99.79,99.79,99.59,99.21,98.02,94.52,91.61,88.28,99.79,99.79,99.79,99.59,99.59,99.12,96.65,96.05,92.86,82.83,83.32,83.32,83.32,83.32,83.32,83.32,83.32,83.32,83.32,83.32,83.32,64.57,79.36,79.36,79.36,79.36
