"AGS";"alle Technologien ≥ 1 Mbit/s";"alle Technologien ≥ 2 Mbit/s";"alle Technologien ≥ 6 Mbit/s";"alle Technologien ≥ 16 Mbit/s";"alle Technologien ≥ 30 Mbit/s";"alle Technologien ≥ 50 Mbit/s";"alle Technologien ≥ 100 Mbit/s";"alle Technologien ≥ 200 Mbit/s";"alle Technologien ≥ 400 Mbit/s";"alle Technologien ≥ 1000 Mbit/s";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"mobile Technologien ≥ 1 Mbit/s";"mobile Technologien ≥ 2 Mbit/s";"mobile Technologien ≥ 6 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"09674160";100;100;98.11;96.01;95.10;94.95;64.82;1.07;1.04;1.04;99;99;97.20;96.01;95.10;94.95;64.82;1.07;1.04;1.04;60.98;60.98;20.15;99;99;97.20;96.01;95.10;94.95;64.82;1.07;0;0;0;0;0;0;0;0;0;0;1.04;1.04;1.04;1.04
"09674163";100;100;100;99.06;97.05;96.17;88.66;63.97;55.24;2;100;100;99.23;98.70;97.05;96.17;88.66;63.97;55.24;2;98.67;94.15;93.35;100;100;99.04;97.86;91.66;85.27;65.52;26.97;54.37;54.37;54.37;54.37;54.37;54.37;54.37;54.37;54.37;0;2;2;2;2
"09674164";100;100;99;97.15;95.03;94.91;82.12;48;47;1.13;98.62;98.62;97.50;95.08;95.03;94.91;82.12;48;47;1.13;90.60;90.60;85.10;98.03;98.03;96.91;74.76;72.40;72.28;57.98;14.64;47;47;47;47;47;47;47;47;47;0;1.13;1.13;1.13;1.13
"09674171";99.25;99.20;99;94;91;64;18.60;3;3;3;96;95;95;94;91;64;18.60;3;3;3;89.46;89.40;78.92;94;93;93;92;80;39;16.15;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"09674180";100;100;100;100;96.48;83;35.01;35.01;34.70;2.26;100;99.08;99.08;99.08;96.48;83;35.01;35.01;34.70;2.26;93.71;93.71;91.47;99;99;99;99;96;81;2.57;2.57;34;34;34;34;34;34;34;34;34;0;2.26;2.26;2.26;2.26
"09674184";100;100;100;99.01;98.84;97.96;81.78;15.58;2.54;2.54;99.42;99.42;99.24;99.01;98.84;97.96;81.78;15.58;2.54;2.54;84.03;84.03;84.03;99.42;99.42;99.24;99.01;98.84;97.96;81.78;15.58;0;0;0;0;0;0;0;0;0;0;2.54;2.54;2.54;2.54
"09674187";99.15;99.15;99.09;89;83;73;57.95;16.16;1;1;96;96;95;89;83;73;57.95;16.16;1;1;85.80;85.80;85.58;96;96;95;89;83;73;57.95;16.16;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"09674190";100;100;100;98.78;97.26;91.24;61.03;18.79;1;1;99.24;99.24;99.24;98.78;97.26;91.24;61.03;18.79;1;1;97.19;96.10;94.70;99.24;99.24;99.24;98.78;97.26;91.24;61.03;18.79;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"09674195";100;100;100;100;97.85;97.68;91.38;79.28;52.99;1;99.06;98.46;97.85;97.85;97.85;97.68;91.38;79.28;52.99;1;100.00;100.00;100.00;99;97;96.04;96;96;96;86.03;64.42;52.23;52.23;52.23;52.23;52.23;52.23;52.23;52.23;52.23;0;1;1;1;1
"09674201";100;100;100;100;97;94.08;87.79;53.57;0;0;100;100;100;100;97;94.08;87.79;53.57;0;0;16.84;16.84;16.84;100;100;100;100;97;94.08;87.79;53.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0
