"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000"
"06412";99.97;99.95;99.63;97.89;96.41;94.77;91.31;91.31;88.16;87.40;99.88;99.85;99.30;88.10;78.09;60.42;41.36;41.34;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;88.11;88.11;88.11;88.11;88.11;88.11;88.11;88.11;88.09;87.33
"06413";99.97;99.97;99.97;99.89;98.69;98.41;96.35;93.42;84.29;1.82;99.84;99.71;99.70;99.48;95.06;92.95;72.83;56.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;83.77;83.77;83.77;83.77;83.77;83.77;83.77;83.77;83.77;0.00
"06414";99.83;99.63;99.12;97.46;95.18;91.74;84.10;83.68;73.52;0.06;99.79;99.44;98.21;94.15;85.08;67.76;41.53;40.56;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;73.64;73.64;73.64;73.64;73.64;73.52;73.52;73.52;73.52;0.00
"06431";99.64;99.25;98.39;93.34;86.67;85.45;62.19;52.97;48.54;0.45;99.61;99.22;97.55;88.66;76.85;73.37;39.13;20.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;48.34;48.34;48.34;48.34;48.34;48.34;48.34;48.34;48.34;0.00
"06432";100.00;100.00;99.71;99.11;94.17;92.80;80.90;61.05;46.30;2.29;100.00;100.00;99.02;97.99;87.69;84.68;64.52;29.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;44.59;44.59;44.59;44.59;44.59;44.59;44.59;44.59;44.59;0.00
"06433";99.77;99.58;99.20;94.88;89.93;89.23;84.25;75.98;58.25;3.73;99.73;99.52;99.02;94.55;85.28;82.55;70.18;54.75;3.10;3.10;3.10;3.10;3.10;3.10;3.10;3.10;3.10;3.10;55.31;55.31;55.31;55.31;55.31;55.31;55.31;55.31;55.31;0.00
"06434";99.80;99.55;97.88;95.44;94.20;92.88;86.85;86.85;78.17;0.01;98.65;98.26;95.46;91.45;88.99;86.62;68.94;68.94;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;78.17;78.17;78.17;78.17;78.17;78.17;78.17;78.17;78.17;0.00
"06435";96.18;94.50;82.47;67.03;65.40;63.79;58.29;58.28;54.93;0.01;95.10;92.60;71.51;40.20;35.36;29.57;17.26;17.23;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;54.93;54.93;54.93;54.93;54.93;54.93;54.93;54.93;54.93;0.00
"06436";98.57;98.36;97.44;96.00;93.38;91.30;76.77;76.77;56.66;0.03;98.53;98.31;97.12;95.06;88.36;79.40;54.22;54.20;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;56.67;56.67;56.67;56.67;56.67;56.63;56.63;56.63;56.63;0.00
"06437";99.67;99.36;97.36;92.96;86.02;84.35;37.27;30.69;30.69;1.24;99.67;99.36;97.36;92.96;85.46;83.79;10.69;1.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.27;30.27;30.27;30.27;30.27;30.27;30.27;30.27;30.27;0.00
"06438";99.56;99.15;98.59;96.93;94.59;94.16;86.86;69.98;64.83;3.73;99.47;98.99;98.31;96.13;92.11;91.27;77.65;27.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;62.79;62.79;62.79;62.79;62.79;62.79;62.79;62.79;62.79;0.00
"06439";99.71;99.28;95.76;91.55;88.47;83.87;72.56;72.56;64.88;0.00;97.50;96.54;90.67;84.58;76.12;64.61;24.77;24.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;64.88;64.88;64.88;64.88;64.88;64.88;64.88;64.88;64.88;0.00
"06440";98.48;97.82;93.90;92.26;90.83;89.24;65.12;65.11;51.99;0.29;98.09;97.27;92.06;89.24;85.34;80.42;33.48;33.47;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;51.99;51.99;51.99;51.99;51.99;51.99;51.99;51.99;51.99;0.17
"06531";99.00;98.75;96.82;95.74;92.73;87.74;62.58;62.58;53.13;0.00;98.87;98.60;96.61;94.78;89.27;81.01;28.19;28.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;53.13;53.13;53.13;53.13;53.13;53.13;53.13;53.13;53.13;0.00
"06532";99.30;99.13;98.42;97.01;93.50;89.58;53.99;53.99;40.38;0.00;99.14;98.92;98.10;96.23;90.50;82.60;27.40;27.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;40.38;40.38;40.38;40.38;40.38;40.38;40.38;40.38;40.38;0.00
