"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"14523320",99.79,99.38,93.86,82.82,71.79,69.70,54.31,26.47,24.18,11.04,99.17,99.03,85.85,65.84,64.20,62.04,46.04,11.70,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,0.00,11.04
"06435009",99.79,99.62,98.35,95.39,92.89,85.53,37.13,37.04,36.96,0.00,97.16,95.71,86.42,68.17,68.08,66.84,22.89,5.64,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,36.96,0.00,0.00
"10041100",99.79,99.79,97.38,90.98,82.24,81.98,76.85,70.89,57.45,55.17,99.29,99.18,92.17,79.81,79.13,79.06,72.03,58.82,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.31,55.02,1.00
"09373159",99.79,99.79,99.79,91.07,87.03,87.03,87.03,14.89,14.89,0.00,95.74,95.74,95.74,87.03,87.03,87.03,87.03,0.00,14.89,14.89,14.89,14.89,14.89,14.89,14.89,14.89,14.89,0.00,0.00
"08135019",99.79,99.79,99.77,99.56,94.35,88.32,78.24,72.72,47.22,0.00,98.42,98.42,97.99,97.48,92.27,84.52,69.20,54.09,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,47.22,0.00,0.00
"08115003",99.80,99.80,97.79,90.37,87.17,84.95,76.18,58.93,37.19,0.00,99.04,99.04,90.14,83.31,80.56,78.33,66.99,40.02,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,0.00,0.00
"08316056",99.80,99.80,99.80,95.98,95.98,91.97,87.44,67.49,46.85,0.88,95.98,95.98,95.98,95.98,95.98,91.97,87.30,53.07,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,45.97,0.00,0.88
"01061050",99.80,99.80,99.80,99.80,99.80,99.80,87.94,47.71,4.34,4.34,96.00,96.00,96.00,96.00,96.00,96.00,87.94,47.71,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,0.00
"09187131",99.80,99.50,97.70,95.47,79.27,58.39,54.15,44.86,40.86,40.86,99.50,99.50,97.45,95.47,79.27,48.42,29.42,12.00,40.86,40.86,40.86,40.86,40.86,40.86,40.86,40.86,40.86,40.86,0.00
"08119068",99.80,99.80,99.80,95.95,94.59,93.24,88.42,66.59,18.92,0.00,95.95,95.95,95.95,95.95,94.59,93.24,88.42,58.12,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,0.00,0.00
