"AGS";"Technologie";"Flaechenart";"Flaechen Gruppe";"Flaechen Gruppe Name";"Verfügbarkeit"
"13003";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"13004";"5G2";Autobahn;30;Infrastruktur;77.26
"13004";"5G2";Bahnstrecken;30;Infrastruktur;92.40
"13004";"5G2";Bundesstraßen;30;Infrastruktur;91.23
"13004";"5G2";Gewässer;20;Gemeindefläche;83.17
"13004";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;99.22
"13004";"5G2";Kreisstraßen;30;Infrastruktur;85.36
"13004";"5G2";Landstraßen;30;Infrastruktur;94.08
"13004";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;96.38
"13004";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;77.62
"13004";"5G2";Wasserstraßen;30;Infrastruktur;71.05
"13004";"5G2";Wohnbaufläche;20;Gemeindefläche;98.80
"13004";LTE10;Autobahn;30;Infrastruktur;100.00
"13004";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"13004";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"13004";LTE10;Gewässer;20;Gemeindefläche;100.00
"13004";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13004";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"13004";LTE10;Landstraßen;30;Infrastruktur;100.00
"13004";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13004";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13004";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"13004";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"13004";LTE2;Autobahn;30;Infrastruktur;100.00
"13004";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"13004";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"13004";LTE2;Gewässer;20;Gemeindefläche;100.00
"13004";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13004";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"13004";LTE2;Landstraßen;30;Infrastruktur;100.00
"13004";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13004";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13004";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"13004";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"13004";LTE6;Autobahn;30;Infrastruktur;100.00
"13004";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"13004";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"13004";LTE6;Gewässer;20;Gemeindefläche;100.00
"13004";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13004";LTE6;Kreisstraßen;30;Infrastruktur;100.00
"13004";LTE6;Landstraßen;30;Infrastruktur;100.00
"13004";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13004";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13004";LTE6;Wasserstraßen;30;Infrastruktur;100.00
"13004";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"13004";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"13004";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"13004";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"13004";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"13004";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13004";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"13004";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"13004";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13004";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13004";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"13004";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"13071";"5G2";Autobahn;30;Infrastruktur;10.91
"13071";"5G2";Bahnstrecken;30;Infrastruktur;36.94
"13071";"5G2";Bundesstraßen;30;Infrastruktur;36.94
"13071";"5G2";Gewässer;20;Gemeindefläche;28.92
"13071";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;52.11
"13071";"5G2";Kreisstraßen;30;Infrastruktur;19.65
"13071";"5G2";Landstraßen;30;Infrastruktur;30.09
"13071";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;19.82
"13071";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;9.25
