"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50"
"09672";97;97;96;92;88;80;93;93;90;0;0;0;99;99;99;92;88;80;93;91;87;81;72;56;0;0;0;0;0;0;59;59;59;59;59;59;0;0;0;0;0;0;82;56;92;92;90;0;0;0;0;0;0;0;0;0;0;0;0
"09673";98;98;98;95;89;72;91;90;89;11;0;0;99;99;99;96;89;72;98;98;97;94;84;61;2;2;2;2;2;2;34;34;34;34;34;34;0;0;0;0;0;0;67;39;87;87;85;11;11;11;11;0;0;0;0;0;0;0;0
"09674";98;98;97;95;92;79;92;92;90;47;0;0;99;99;99;96;92;79;98;98;96;89;81;64;4;4;4;4;4;4;38;38;38;38;38;38;18;0;0;0;0;0;72;46;91;91;87;48;48;48;47;0;0;0;0;0;0;0;0
"09675";98;97;97;95;93;84;97;96;94;20;0;0;99;99;99;97;93;84;97;96;94;91;88;75;1;1;1;1;1;1;41;41;41;41;41;41;0;0;0;0;0;0;87;49;95;95;93;20;20;20;20;0;0;0;0;0;0;0;0
"09676";99;99;98;98;95;82;97;96;93;9;0;0;99;99;99;98;95;82;99;99;98;95;89;67;0;0;0;0;0;0;60;60;60;60;56;56;0;0;0;0;0;0;92;58;96;96;93;9;9;9;9;0;0;0;0;0;0;0;0
"09677";99;99;98;96;91;77;96;96;94;0;0;0;99;99;99;96;91;77;98;98;98;94;87;69;1;1;1;1;1;1;35;35;35;35;31;31;0;0;0;0;0;0;82;56;96;96;94;0;0;0;0;0;0;0;0;0;0;0;0
"09678";99;99;98;97;93;80;95;95;93;31;0;0;99;99;99;98;93;80;99;99;95;90;81;56;1;1;1;1;1;1;58;58;58;58;58;58;0;0;0;0;0;0;79;44;92;92;89;27;27;27;27;0;0;10;10;10;10;0;0
"09679";99;99;99;97;91;77;97;96;92;0;0;0;99;99;99;97;91;77;99;99;98;95;87;68;0;0;0;0;0;0;47;47;47;47;40;40;0;0;0;0;0;0;89;57;96;96;92;0;0;0;0;0;0;0;0;0;0;0;0
"09761";100;100;100;99;97;96;100;100;93;0;0;0;100;100;100;99;97;96;100;100;100;98;89;84;8;8;8;8;8;8;82;82;82;82;82;82;0;0;0;0;0;0;99;36;100;100;93;0;0;0;0;0;0;0;0;0;0;0;0
"09762";100;100;100;100;99;99;100;99;96;0;0;0;100;100;100;100;99;99;100;100;100;99;95;90;1;1;1;1;1;1;96;96;96;96;96;96;0;0;0;0;0;0;99;49;98;98;96;0;0;0;0;0;0;0;0;0;0;0;0
"09763";100;100;100;99;98;98;100;99;97;28;0;0;100;100;100;99;98;98;100;100;100;92;36;33;85;85;85;85;85;85;93;93;93;93;93;93;0;0;0;0;0;0;97;37;99;99;96;28;28;28;28;0;0;0;0;0;0;0;0
"09764";99;99;99;98;95;94;99;99;96;52;0;0;100;100;100;99;95;94;99;99;99;97;68;63;0;0;0;0;0;0;88;88;88;88;88;88;0;0;0;0;0;0;94;30;98;98;95;52;52;52;52;0;0;0;0;0;0;0;0
"09771";97;97;95;91;87;78;95;94;86;0;0;0;99;99;98;91;87;78;97;97;95;89;81;69;2;2;2;2;2;2;46;46;46;46;46;46;0;0;0;0;0;0;77;41;94;94;86;0;0;0;0;0;0;0;0;0;0;0;0
"09772";99;99;98;96;93;86;96;95;90;0;0;0;99;99;99;96;93;86;99;99;97;94;88;78;0;0;0;0;0;0;56;56;56;56;56;56;0;0;0;0;0;0;83;41;95;95;90;0;0;0;0;0;0;0;0;0;0;0;0
"09773";98;98;97;93;88;73;95;95;92;0;0;0;99;99;99;93;88;73;98;98;96;89;82;66;0;0;0;0;0;0;39;39;39;39;39;39;0;0;0;0;0;0;73;45;95;95;92;0;0;0;0;0;0;0;0;0;0;0;0
"09774";98;98;97;95;91;81;95;95;92;15;0;0;99;99;99;95;91;81;98;97;96;88;81;69;2;2;2;2;2;2;40;40;40;40;40;40;0;0;0;0;0;0;77;43;95;95;92;15;15;15;15;0;0;0;0;0;0;0;0
"09775";99;99;97;92;87;83;98;98;98;89;0;0;100;100;99;99;87;83;98;98;94;77;54;43;0;0;0;0;0;0;71;71;71;71;71;71;0;0;0;0;0;0;87;36;97;97;95;89;89;89;89;0;0;0;0;0;0;0;0
"09776";96;95;90;83;77;74;98;97;91;0;0;0;99;99;98;83;77;74;96;95;88;80;69;62;7;7;7;7;7;7;48;48;48;48;48;48;0;0;0;0;0;0;82;41;96;96;91;23;0;0;0;0;0;0;0;0;0;0;0
"09777";98;97;94;86;82;75;95;94;84;18;0;0;99;99;99;88;82;75;98;97;92;76;64;49;2;2;2;2;2;2;52;52;52;52;52;52;0;0;0;0;0;0;69;46;92;92;82;18;18;18;18;0;0;0;0;0;0;0;0
"09778";95;94;87;78;73;64;94;93;85;25;0;0;99;99;98;86;73;64;95;93;85;72;58;45;2;2;2;2;2;2;40;40;40;40;40;40;0;0;0;0;0;0;68;45;90;90;83;25;25;25;25;0;0;0;0;0;0;0;0
"09779";97;96;94;89;85;74;92;91;86;2;0;0;99;99;98;89;85;74;97;96;93;82;73;59;2;2;2;2;2;2;47;47;47;47;47;47;0;0;0;0;0;0;68;38;91;91;86;2;2;2;2;0;0;0;0;0;0;0;0
"09780";96;96;92;88;84;79;96;95;92;34;0;0;99;99;99;91;84;79;96;95;90;75;60;48;1;1;1;1;1;1;64;64;64;64;64;64;0;0;0;0;0;0;80;45;95;95;91;34;34;34;34;0;0;4;4;4;0;0;0
"10041";99;99;98;93;82;79;98;95;91;1;0;0;99;99;99;93;82;79;99;99;96;87;64;54;3;3;3;3;3;3;67;67;67;67;67;67;0;0;0;0;0;0;96;44;93;93;91;1;1;1;1;0;0;0;0;0;0;0;0
"10042";98;98;97;90;85;65;88;86;85;0;0;0;99;99;99;90;85;65;97;96;95;88;80;56;1;1;1;1;1;1;32;32;32;32;32;32;0;0;0;0;0;0;78;51;86;86;85;0;0;0;0;0;0;0;0;0;0;0;0
"10043";99;99;98;94;84;81;99;99;98;1;0;0;100;100;100;94;84;81;97;94;88;74;45;39;1;1;1;1;1;1;70;70;70;70;70;70;0;0;0;0;0;0;90;50;99;99;98;1;1;1;1;0;0;0;0;0;0;0;0
"10044";99;99;97;95;90;84;96;94;90;2;0;0;99;99;98;95;90;84;99;98;96;90;83;73;3;3;3;3;3;3;61;61;61;61;61;61;0;0;0;0;0;0;92;48;92;92;90;2;2;2;2;0;0;0;0;0;0;0;0
"10045";99;98;98;95;92;91;97;97;96;1;0;0;99;99;99;95;92;91;95;91;84;68;45;40;2;2;2;2;2;2;83;83;83;83;83;83;0;0;0;0;0;0;91;45;97;97;96;1;1;1;1;0;0;0;0;0;0;0;0
