AGS,year,n_rows,prev_year_max,next_year_max,dropped
07133055,2010,2,NA,12,TRUE
07133060,2010,2,NA,98,TRUE
07133092,2010,2,NA,100,TRUE
07133100,2010,2,NA,11,TRUE
07133201,2011,2,1,81,TRUE
07134011,2010,2,NA,16,TRUE
07134012,2011,2,17,0,TRUE
07134012,2012,2,0,100,TRUE
07134022,2010,2,NA,0,TRUE
07134022,2011,2,0,100,TRUE
07134043,2010,2,NA,99,TRUE
07134061,2010,2,NA,7,TRUE
07134066,2010,2,NA,37,TRUE
07134071,2010,2,NA,47,TRUE
07135016,2010,2,NA,57,TRUE
07135022,2010,2,NA,100,TRUE
07135026,2010,2,NA,0,TRUE
07135026,2011,2,0,100,TRUE
07135033,2010,2,NA,61,TRUE
07135043,2010,2,NA,100,TRUE
07135046,2010,2,NA,1,TRUE
07135052,2010,2,NA,12,TRUE
07135056,2010,2,NA,0,TRUE
07135056,2011,2,0,0,TRUE
07135056,2012,2,0,84.43,TRUE
07135067,2010,2,NA,14,TRUE
07135068,2011,2,1,0,TRUE
07135068,2012,2,0,96.83,TRUE
07135075,2010,2,NA,43,TRUE
07135093,2010,2,NA,100,TRUE
07137029,2010,2,NA,29,TRUE
07140079,2010,2,NA,86,TRUE
07140116,2010,2,NA,3,TRUE
07140205,2010,2,NA,2,TRUE
07141008,2011,2,15,46,TRUE
07141011,2010,2,NA,15,TRUE
07141016,2010,2,NA,1,TRUE
07141031,2010,2,NA,86,TRUE
07141097,2010,2,NA,1,TRUE
07141115,2010,2,NA,0,TRUE
07141115,2011,2,0,18,TRUE
07141122,2010,2,NA,0,TRUE
07141122,2011,2,0,0,TRUE
07141122,2012,2,0,10,TRUE
07141139,2010,2,NA,45,TRUE
07143252,2010,2,NA,56,TRUE
07231013,2010,2,NA,2,TRUE
07231016,2010,2,NA,14,TRUE
07231020,2010,2,NA,93,TRUE
07231021,2010,2,NA,68,TRUE
07231036,2010,2,NA,61,TRUE
07231037,2010,2,NA,2,TRUE
07231042,2010,2,NA,0,TRUE
07231042,2011,2,0,0,TRUE
07231042,2012,2,0,12.5,TRUE
07231051,2010,2,NA,0,TRUE
07231051,2011,2,0,95,TRUE
07231058,2010,2,NA,5,TRUE
07231082,2011,2,1,100,TRUE
07231083,2010,2,NA,6,TRUE
07231086,2010,2,NA,100,TRUE
07231114,2010,2,NA,56,TRUE
07231504,2010,2,NA,0,TRUE
07231504,2011,2,0,10,TRUE
07232001,2010,2,NA,0,TRUE
07232001,2011,2,0,0,TRUE
07232001,2012,2,0,0,TRUE
07232001,2013,3,0,0,TRUE
07232001,2014,3,0,0,TRUE
07232001,2015,3,0,50,FALSE
07232003,2010,2,NA,53,TRUE
07232004,2010,2,NA,0,TRUE
07232004,2011,2,0,0,TRUE
07232004,2012,2,0,60,TRUE
07232011,2010,2,NA,4,TRUE
07232015,2010,2,NA,95,TRUE
07232016,2010,2,NA,4,TRUE
07232028,2011,2,1,0,TRUE
07232028,2012,2,0,99.09,TRUE
07232029,2010,2,NA,43,TRUE
07232031,2010,2,NA,0,TRUE
07232031,2011,2,0,3,TRUE
