AGS;100_1;100_2;100_6;100_16;100_30;100_50;200_1;200_2;200_6;200_16;200_30;200_50
16071042;99;99;89;89;89;2;100;100;100;0;0;0
01051011;99;99;97;95;93;92;100;100;100;0;0;0
16076039;100;99;98;80;69;37;96;96;95;0;0;0
01051010;100;99;89;85;85;85;56;56;56;0;0;0
16076041;100;100;97;97;84;38;100;100;99;0;0;0
16076049;99;99;94;12;6;4;100;100;100;0;0;0
16076055;66;1;0;0;0;0;100;100;100;0;0;0
16076064;40;26;13;10;10;10;98;98;94;0;0;0
16076061;100;100;99;98;96;95;100;100;100;0;0;0
16076062;90;90;90;90;76;28;100;100;99;0;0;0
16076069;95;94;94;88;73;52;96;96;96;0;0;0
16076079;98;97;97;95;94;91;100;100;100;0;0;0
16076084;98;98;96;94;88;81;97;97;97;0;0;0
16076086;98;97;95;89;80;78;93;93;87;0;0;0
15090225;94;94;94;90;89;87;94;94;91;0;0;0
16077005;96;96;96;96;96;96;100;100;100;0;0;0
15090445;83;83;83;82;82;80;100;100;100;0;0;0
15090485;1;1;1;1;1;1;97;97;97;0;0;0
15090435;86;86;68;61;61;60;72;71;63;0;0;0
01051036;84;82;8;2;2;2;94;94;94;0;0;0
01051037;92;92;92;92;92;92;66;64;64;0;0;0
01051038;77;74;22;2;2;0;100;100;99;0;0;0
01051045;35;31;17;6;6;6;99;96;93;0;0;0
01051044;100;100;100;99;98;96;99;99;99;0;0;0
01051039;98;94;4;1;0;0;59;59;58;0;0;0
01051043;56;53;24;5;5;4;90;88;87;0;0;0
16077012;99;99;94;35;20;4;100;100;99;0;0;0
16077022;99;99;75;75;74;67;80;80;79;0;0;0
16077019;68;60;10;10;10;10;99;98;85;0;0;0
16077023;94;94;92;77;64;40;95;95;87;0;0;0
16077026;93;91;61;42;42;28;100;100;99;0;0;0
16077018;97;97;97;97;97;27;100;100;95;0;0;0
16077028;93;93;89;26;17;7;100;100;100;0;0;0
16077029;75;74;8;2;2;2;100;100;98;0;0;0
16077032;78;75;68;67;67;66;100;99;99;0;0;0
09778202;100;100;99;99;99;99;97;87;73;23;0;0
16077037;97;97;97;75;75;21;100;100;100;0;0;0
01004000;100;100;100;99;98;98;100;100;99;0;0;0
16077055;74;69;6;3;3;2;68;68;61;0;0;0
01003000;100;100;100;99;97;96;100;100;99;0;0;0
01051001;99;99;99;97;96;92;99;96;96;0;0;0
01001000;100;100;100;100;99;98;100;99;96;0;0;0
16077052;91;84;82;81;80;71;97;97;95;0;0;0
16077051;66;66;66;66;66;66;100;99;98;0;0;0
01053103;99;99;98;98;98;98;100;100;100;0;0;0
01053104;97;97;97;96;89;73;100;100;100;0;0;0
08335015;37;11;7;7;7;7;56;53;0;0;0;0
01053101;97;97;96;90;90;90;100;100;98;0;0;0
01053102;89;82;80;66;66;66;100;100;100;0;0;0
01051021;100;100;98;76;63;58;100;100;97;0;0;0
03454056;84;84;84;74;62;19;71;71;71;0;0;0
09679204;100;100;100;100;99;45;100;100;100;0;0;0
05566076;99;99;96;92;89;84;100;100;98;0;0;0
01057069;94;92;37;25;25;24;98;98;82;0;0;0
06435001;100;100;100;100;99;98;100;100;100;0;0;0
09278146;94;94;93;79;73;58;97;97;89;46;46;0
03158502;0;0;0;0;0;0;0;0;0;0;0;0
01061060;67;67;67;67;67;67;100;68;61;0;0;0
09774136;99;98;98;98;97;76;100;100;98;0;0;0
07143009;99;99;99;99;99;65;100;100;100;0;0;0
09672142;100;100;100;100;97;97;100;100;100;0;0;0
09778216;97;97;97;96;92;50;71;70;62;0;0;0
03454024;93;93;93;76;33;12;100;100;100;0;0;0
07143239;97;96;96;96;96;96;100;100;100;0;0;0
05758036;98;98;93;81;76;71;100;100;98;29;0;0
01053083;100;100;100;99;99;99;100;99;88;0;0;0
01053086;96;96;92;92;92;92;100;100;67;0;0;0
01057055;97;66;57;55;54;48;98;98;89;0;0;0
09673453;0;0;0;0;0;0;0;0;0;0;0;0
13074061;86;86;86;81;71;28;98;98;98;0;0;0
07232137;98;97;93;65;30;15;97;90;29;0;0;0
07132109;97;97;97;83;82;81;100;100;99;0;0;0
09573130;100;100;100;99;97;63;100;100;100;0;0;0
16075016;96;96;96;93;17;17;94;94;88;0;0;0
08225068;100;100;100;98;97;49;100;100;100;0;0;0
16068057;100;100;99;51;33;6;100;100;93;0;0;0
09473452;0;0;0;0;0;0;0;0;0;0;0;0
07232107;98;98;97;97;72;12;85;80;80;0;0;0
08215039;100;100;99;99;99;99;100;100;100;0;0;0
01054168;99;99;99;99;99;99;99;98;93;0;0;0
15083120;77;68;38;7;7;6;91;91;85;0;0;0
03251020;87;83;79;65;53;53;96;96;96;0;0;0
09571125;94;90;86;4;4;4;47;47;47;0;0;0
01055027;94;93;91;86;85;79;99;99;98;85;0;0
07336057;98;98;98;98;86;86;47;47;47;0;0;0
09274135;97;96;96;94;92;90;94;94;94;0;0;0
07233021;100;100;86;86;86;86;96;96;96;0;0;0
09181132;98;98;98;78;72;50;93;93;92;0;0;0
09474160;100;100;100;100;87;11;100;100;100;0;0;0
09779130;92;92;92;91;91;65;82;62;41;0;0;0
14625310;100;100;98;78;51;41;100;99;99;0;0;0
03454048;96;96;96;94;92;89;100;100;100;0;0;0
09677177;100;100;100;98;97;97;98;98;98;0;0;0
01055016;97;96;91;83;83;82;100;100;98;0;0;0
09572126;100;100;100;94;81;47;100;100;100;0;0;0
07141101;99;99;93;93;93;87;50;50;41;0;0;0
03452016;93;93;88;88;86;85;100;100;100;0;0;0
06435024;99;99;99;99;89;70;100;100;100;36;0;0
08216052;100;100;100;100;100;100;99;96;46;0;0;0
06532009;99;99;99;97;96;92;99;99;99;0;0;0
09476185;99;99;98;98;96;96;97;97;95;0;0;0
07131081;86;81;81;81;81;81;100;100;100;0;0;0
09271111;90;87;86;81;69;26;100;100;100;100;100;0
01059009;92;92;89;64;55;17;56;56;25;0;0;0
07133095;91;88;87;87;87;87;100;100;100;0;0;0
07336041;98;97;95;95;95;51;99;99;99;0;0;0
01054141;52;24;21;10;9;6;100;100;91;0;0;0
05770008;94;92;79;69;66;63;100;100;100;0;0;0
16067013;99;99;99;99;70;18;100;100;100;0;0;0
07232044;99;99;97;95;94;81;100;100;100;0;0;0
01059137;98;98;70;48;43;30;99;92;84;0;0;0
01058080;82;69;9;7;7;7;100;100;76;0;0;0
03154007;99;97;97;97;97;97;100;100;93;0;0;0
09780145;99;99;98;97;96;95;98;98;98;95;0;0
05158012;99;99;99;99;98;98;100;100;95;0;0;0
16071076;99;99;99;99;99;5;98;98;87;0;0;0
16064007;99;99;99;99;99;90;97;97;58;0;0;0
06635009;78;77;68;55;48;30;93;91;85;0;0;0
03359037;94;94;92;90;84;62;84;84;81;0;0;0
09571194;98;98;98;96;85;68;93;93;93;0;0;0
14522470;33;33;33;32;29;28;98;98;98;0;0;0
03151022;97;96;96;95;91;54;100;100;100;0;0;0
15085140;86;86;86;86;81;29;100;100;99;81;0;0
12067024;45;44;44;44;44;44;100;100;100;98;0;0
09571146;99;99;97;91;74;58;99;99;99;0;0;0
01057085;99;99;98;97;96;96;100;100;100;0;0;0
12068437;75;74;74;67;48;13;94;94;94;0;0;0
08116068;99;99;96;95;95;95;100;100;86;0;0;0
06532014;97;96;95;94;94;90;100;100;98;0;0;0
